Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2025-09-30,3530.291015625,3602.707241586538,3530.291015625,3602.707241586538,217357100
2025-10-01,3448.82275390625,3566.4991208374345,3439.7707256807744,3494.0828950336286,223133600
2025-10-02,3358.302490234375,3430.7187164388897,3358.302490234375,3403.562631612197,379620000
2025-10-03,3340.1982421875,3394.510408727134,3331.1462144308944,3358.3022977007113,214737100
2025-10-06,3313.042236328125,3385.4584600730022,3294.938180391906,3349.2503482005636,190283900
2025-10-07,3358.302490234375,3367.354518509939,3322.0943771321176,3340.1984336832465,155933000
2025-10-08,3367.3544921875,3385.45854859711,3322.094351163474,3376.406520392305,148263700
2025-10-09,3494.0830078125,3557.447207436043,3294.9383804242225,3340.1985230124674,479239500
2025-10-10,3376.406494140625,3430.7186629471767,3340.198381602924,3430.7186629471767,277252300
2025-10-13,3313.042236328125,3358.302376168673,3313.042236328125,3331.1462922643445,181694400
2025-10-14,3213.469970703125,3340.198363913952,3213.469970703125,3294.938223481514,278639100
2025-10-15,3168.2099609375,3249.678217075893,3122.949818638393,3231.57416015625,468733500
2025-10-16,3195.365966796875,3240.6261079696355,3150.105825624115,3168.2098820932188,227629500
2025-10-17,3168.2099609375,3231.57416015625,3159.1579324776785,3195.3660463169645,244442400
2025-10-20,3331.146484375,3376.406626825747,3204.4180855129075,3213.470114003057,391510300
2025-10-21,3403.562744140625,3430.7188298651513,3358.3026012664145,3421.666801290309,293000200
2025-10-22,3349.25048828125,3457.874828441723,3331.146431587838,3430.718743401605,329470700
2025-10-23,3457.874755859375,3457.874755859375,3349.2504179789757,3367.354474292376,225902700
2025-10-24,3485.031005859375,3539.3431773792613,3457.8749200994316,3457.8749200994316,313903600
2025-10-27,3494.0830078125,3557.447207436043,3394.5106941183612,3512.187064847798,332539600
2025-10-28,3485.031005859375,3494.0830344460223,3421.666805752841,3485.031005859375,239026800
2025-10-29,3521.239013671875,3521.239013671875,3430.7187305440634,3466.926843795188,215008600
2025-10-30,3539.343017578125,3611.759243001718,3503.1349048663283,3530.290989400176,287905300
2025-10-31,3602.707275390625,3638.915388711134,3548.395105409862,3557.447133739989,348755700
2025-11-03,3657.01953125,3666.071559792698,3629.863445621906,3666.071559792698,163770500
2025-11-04,3593.6552734375,3666.071500610044,3593.6552734375,3647.967443816908,241154700
2025-11-05,3602.707275390625,3611.759303720752,3539.3430770797345,3566.499162070116,139859100
2025-11-06,3620.811279296875,3629.863307495117,3575.551138305664,3602.7072229003907,130808100
2025-11-07,3602.707275390625,3629.8633603810067,3602.707275390625,3620.8113320508796,87287600
2025-11-10,3557.447021484375,3638.9152738847806,3557.447021484375,3629.8632458402913,148552900
2025-11-11,3521.239013671875,3584.603211861343,3494.0829287335314,3566.499155235781,179000200
2025-11-12,3530.291015625,3575.5511568509614,3521.2389873798074,3521.2389873798074,111115400
2025-11-13,3503.134765625,3539.34287689761,3503.134765625,3530.2908490794575,99373200
2025-11-14,3530.291015625,3557.4471003605768,3494.0829026442307,3494.0829026442307,100717300
2025-11-17,3566.4990234375,3575.5510514157677,3512.186855567893,3512.186855567893,140868100
2025-11-18,3593.6552734375,3611.7593302306364,3557.447159851228,3575.551216644364,205257700
2025-11-19,3620.811279296875,3620.811279296875,3593.6551947021485,3611.759251098633,107451000
2025-11-20,3611.75927734375,3666.071446927867,3611.75927734375,3638.915362135808,183008400
2025-11-21,3584.60302734375,3620.8111387310605,3566.4989716500945,3602.7070830374055,112666100
2025-11-24,3602.707275390625,3620.8113320508796,3566.499162070116,3620.8113320508796,262302000
2025-11-25,3466.927001953125,3602.7074328390177,3466.927001953125,3602.7074328390177,396959100
2025-11-26,3430.71875,3466.926863456464,3421.6667216358837,3439.770778364116,288419400
2025-11-27,3385.458740234375,3448.8229412548044,3367.3546827999667,3439.7709125376005,283451800
2025-11-28,3331.146484375,3394.510683806046,3331.146484375,3358.3025698454485,353872800
2025-12-01,3322.094482421875,3376.4066537966196,3313.0424538594175,3331.1465109843325,299669500
2025-12-02,3358.302490234375,3376.406546785504,3322.0943771321176,3340.1984336832465,277714300
2025-12-03,3313.042236328125,3349.2503482005636,3313.042236328125,3340.198320232454,225357100
